rank,name,surface_km2
876,ARE,226.91591120943767
877,ARE,226.79867158415948
878,ARE,226.6006398037788
879,ARE,226.30346255097908
880,ARE,225.6834350076872
881,ARE,225.61479931555638
882,ARE,225.57289572005268
883,ARE,225.5450066797676
884,ARE,225.35941845498408
885,ARE,225.32527127935435
886,ARE,224.96961942885017
887,ARE,224.6495460253199
888,ARE,224.26148111477403
889,ARE,223.52323728230357
890,ARE,223.34518274654152
891,ARE,223.20786933048612
892,ARE,223.0986945327668
893,ARE,222.85829317257526
894,ARE,222.4665254879416
895,ARE,221.7844977960539
896,ARE,221.05488583701526
897,ARE,220.5684877634401
898,ARE,219.92110837733455
899,ARE,219.84106937733398
900,ARE,219.68227476020962
901,ARE,219.20742537389404
902,ARE,218.412103380146
903,ARE,218.39517249224133
904,ARE,218.0328024054887
905,ARE,218.01695093165588
906,ARE,217.89455983781437
907,ARE,217.8168778052877
908,ARE,217.5108214977691
909,ARE,217.26557540730903
910,ARE,217.0134385535704
911,ARE,216.4911665767924
912,ARE,216.3615058082795
913,ARE,215.85417821962173
914,ARE,215.82945525237795
915,ARE,215.46663365575736
916,ARE,215.45307000161117
917,ARE,215.1739715458068
918,ARE,214.023035219944
919,ARE,213.65908159922236
920,ARE,213.4752355091245
921,ARE,213.37262892262717
922,ARE,213.0999093871102
923,ARE,213.05490124917512
924,ARE,212.97424465631204
925,ARE,212.9382940553726
926,ARE,212.54558036182945
927,ARE,212.4690468433781
928,ARE,212.13818257718287
929,ARE,212.09086739395283
930,ARE,212.02976975576098
931,ARE,211.8153294965346
932,ARE,211.76259713367324
933,ARG,209.89052313640119
934,ARG,209.02223761694717
935,ARG,208.8655104277649
936,ARG,208.84969899389745
937,ARG,208.83061623928882
938,ARG,208.41208483579118
939,ARG,208.12341523916518
940,ARG,207.98426456372857
941,ARG,207.7325974706764
942,ARG,206.70050841496368
943,ARG,205.87196048148928
944,ARG,205.5047950413543
945,ARG,204.92475358277272
946,ARG,204.77707451872058
947,ARG,204.36094511208518
948,ARG,204.0270876072192
949,ARG,203.3868590185097
950,ARG,203.19097859190182
951,ARG,203.13638049370482
952,ARG,203.0773904153517
953,ARG,202.62054999588676
954,ARG,201.93178544712399
955,ARG,201.8316494367736
956,ARG,201.62123678267616
957,ARG,201.6168730309446
958,ARG,201.3426818845297
959,ARG,200.45725764144896
960,ARG,200.42939555811856
961,ARG,200.27721420451897
962,ARG,199.4683946279863
963,ARG,199.01508872411347
964,ARG,198.35004414289074
965,ARG,198.07574050085017
966,ARG,197.9323735042996
967,ARG,197.8311162463951
968,ARG,197.38802417807918
969,ARG,197.35931247239571
970,ARG,197.3125324445803
971,ARG,197.06988630794675
972,ARG,196.9670094196977
973,ARG,196.3727043940332
974,ARG,196.0200776569481
975,ARG,195.9413065400417
976,ARG,195.58367270786485
977,ARG,194.4710265915472
978,ARG,194.46546593129204
979,ARG,194.09350485274726
980,ARG,194.013157642124
981,ARG,193.95439618327987
982,ARG,193.93979287554143
983,ARG,193.4370557734792
984,ARG,193.2246934847253
985,ARG,193.14059825313663
986,ARG,192.59212943967242
987,ARG,192.5589457712161
988,ARG,191.43276728382168
989,ARG,191.39139085820125
